seconds,CO,CO2,PMred,DP,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,temp,rboxtemp,glastemp,gboxtemp,chiptemp
121.0,0.3456,596.324,9966.6,0.4599756097560976,23.61438,23.1,6624.0,52999.0,26.352,28.29687,24.887999999999998,24.887999999999998,22.9743,26.22423,0.0,745.0
124.0,0.1296,595.9799999999999,9898.8,0.44765853658536586,23.64867,23.1,7350.0,52996.0,26.108,28.29687,24.887999999999998,25.131999999999998,43.69308,26.23185,0.0,743.0
127.0,0.3456,605.096,10034.4,0.43970731707317073,23.67915,23.1,6619.0,52997.0,26.352,28.30449,24.887999999999998,24.887999999999998,22.98192,26.22804,0.0,744.0
130.0,0.38880000000000003,614.04,10034.4,0.4644146341463415,23.71344,23.1,7343.0,52999.0,26.352,28.30449,24.887999999999998,25.131999999999998,43.7388,26.23185,0.0,745.0
133.0,0.1728,613.8679999999999,9898.8,0.46439024390243905,23.74392,23.200000000000003,6623.0,52996.0,26.352,28.3083,24.887999999999998,25.131999999999998,22.9743,26.22804,0.0,744.0
136.0,0.43200000000000005,613.8679999999999,9966.6,0.46219512195121953,23.7744,23.200000000000003,7356.0,52997.0,26.108,28.3083,24.887999999999998,24.887999999999998,43.67022,26.23185,0.0,745.0
139.0,0.38880000000000003,613.8679999999999,9966.6,0.45207317073170733,23.79345,23.1,6621.0,52998.0,26.108,28.30449,25.131999999999998,24.887999999999998,22.98192,26.23566,0.0,744.0
142.0,0.38880000000000003,613.8679999999999,9966.6,0.4621707317073171,23.83536,23.400000000000002,7352.0,52998.0,26.108,28.31211,25.131999999999998,25.131999999999998,43.7007,26.23185,0.0,744.0
145.0,0.648,627.284,9966.6,0.46997560975609753,23.86584,23.6,6620.0,52998.0,25.864,28.31211,24.644,25.131999999999998,22.98573,26.22804,0.0,744.0
148.0,0.7776000000000001,636.228,9966.6,0.46,23.90013,23.700000000000003,7348.0,52998.0,26.352,28.31592,24.644,24.887999999999998,43.71594,26.23185,0.0,744.0
151.0,0.648,636.4,9966.6,0.457609756097561,23.93442,23.3,6625.0,52998.0,26.108,28.31973,25.131999999999998,24.887999999999998,22.97811,26.24709,0.0,744.0
154.0,0.9504,645.0,9898.8,0.4599268292682927,23.94966,25.400000000000002,7349.0,52998.0,26.352,28.32354,24.644,25.131999999999998,43.71594,26.24709,0.0,743.0
157.0,0.9504,645.0,9898.8,0.4698780487804878,23.96871,23.6,6625.0,52998.0,26.108,28.31592,24.887999999999998,24.887999999999998,22.97811,26.23566,0.0,744.0
160.0,1.5552000000000001,645.0,9898.8,0.4716341463414634,24.01443,23.5,7347.0,52999.0,26.352,28.31973,24.644,25.131999999999998,43.71594,26.24709,0.0,744.0
163.0,1.9440000000000002,653.7719999999999,9966.6,0.45990243902439026,24.03348,23.6,6624.0,52999.0,26.108,28.31973,24.644,25.131999999999998,22.99335,26.24328,0.0,744.0
166.0,2.16,653.944,9898.8,0.4577317073170732,24.07539,28.0,7342.0,52999.0,26.108,28.31973,24.887999999999998,25.131999999999998,43.74261,26.24709,0.0,744.0
